county	date	fips	new.cases
COCHISE	2020-04-20	4003	4
COCHISE	2020-04-21	4003	1
COCHISE	2020-04-22	4003	2
COCHISE	2020-04-23	4003	0
COCHISE	2020-04-24	4003	3
COCHISE	2020-04-25	4003	2
COCHISE	2020-04-26	4003	0
COCHISE	2020-04-27	4003	0
COCHISE	2020-04-28	4003	1
COCHISE	2020-04-29	4003	1
COCHISE	2020-04-30	4003	1
COCHISE	2020-05-01	4003	0
COCHISE	2020-05-02	4003	0
COCHISE	2020-05-03	4003	0
COCHISE	2020-05-04	4003	0
COCHISE	2020-05-05	4003	0
COCHISE	2020-05-06	4003	1
COCHISE	2020-05-07	4003	0
COCHISE	2020-05-08	4003	1
COCHISE	2020-05-09	4003	0
COCHISE	2020-05-10	4003	0
COCHISE	2020-05-11	4003	1
COCHISE	2020-05-12	4003	1
COCHISE	2020-05-13	4003	0
COCHISE	2020-05-14	4003	1
COCHISE	2020-05-15	4003	1
COCHISE	2020-05-16	4003	1
COCHISE	2020-05-17	4003	0
COCHISE	2020-05-18	4003	0
COCHISE	2020-05-19	4003	0
COCHISE	2020-05-20	4003	0
COCHISE	2020-05-21	4003	5
COCHISE	2020-05-22	4003	5
COCHISE	2020-05-23	4003	2
COCHISE	2020-05-24	4003	1
COCHISE	2020-05-25	4003	0
COCHISE	2020-05-26	4003	5
COCHISE	2020-05-27	4003	-1
COCHISE	2020-05-28	4003	4
COCHISE	2020-05-29	4003	0
COCHISE	2020-05-30	4003	5
COCHISE	2020-05-31	4003	2
COCHISE	2020-06-01	4003	2
COCHISE	2020-06-02	4003	13
COCHISE	2020-06-03	4003	5
COCHISE	2020-06-04	4003	11
COCHISE	2020-06-05	4003	15
COCHISE	2020-06-06	4003	2
COCHISE	2020-06-07	4003	19
COCHISE	2020-06-08	4003	8
COCHISE	2020-06-09	4003	7
COCHISE	2020-06-10	4003	11
COCHISE	2020-06-11	4003	4
COCHISE	2020-06-12	4003	7
COCHISE	2020-06-13	4003	28
COCHISE	2020-06-14	4003	10
COCHISE	2020-06-15	4003	5
COCHISE	2020-06-16	4003	20
COCHISE	2020-06-17	4003	7
COCHISE	2020-06-18	4003	19
COCHISE	2020-06-19	4003	65
COCHISE	2020-06-20	4003	30
COCHISE	2020-06-21	4003	1
COCHISE	2020-06-22	4003	9
COCHISE	2020-06-23	4003	60
COCHISE	2020-06-24	4003	9
COCHISE	2020-06-25	4003	27
COCHISE	2020-06-26	4003	41
COCHISE	2020-06-27	4003	29
COCHISE	2020-06-28	4003	35
COCHISE	2020-06-29	4003	32
COCHISE	2020-06-30	4003	40
COCHISE	2020-07-01	4003	18
COCHISE	2020-07-02	4003	21
COCHISE	2020-07-03	4003	39
COCHISE	2020-07-04	4003	52
COCHISE	2020-07-05	4003	36
COCHISE	2020-07-06	4003	27
COCHISE	2020-07-07	4003	32
COCHISE	2020-07-08	4003	14
COCHISE	2020-07-09	4003	41
COCHISE	2020-07-10	4003	59
COCHISE	2020-07-11	4003	36
COCHISE	2020-07-12	4003	29
COCHISE	2020-07-13	4003	19
COCHISE	2020-07-14	4003	32
COCHISE	2020-07-15	4003	31
COCHISE	2020-07-16	4003	30
COCHISE	2020-07-17	4003	25
COCHISE	2020-07-18	4003	44
COCHISE	2020-07-19	4003	28
COCHISE	2020-07-20	4003	2
COCHISE	2020-07-21	4003	27
COCHISE	2020-07-22	4003	9
COCHISE	2020-07-23	4003	15
COCHISE	2020-07-24	4003	16
COCHISE	2020-07-25	4003	36
COCHISE	2020-07-26	4003	25
COCHISE	2020-07-27	4003	11
COCHISE	2020-07-28	4003	23
COCHISE	2020-07-29	4003	20
COCONINO	2020-03-18	4005	1
COCONINO	2020-03-19	4005	1
COCONINO	2020-03-20	4005	9
COCONINO	2020-03-21	4005	0
COCONINO	2020-03-22	4005	4
COCONINO	2020-03-23	4005	2
COCONINO	2020-03-24	4005	1
COCONINO	2020-03-25	4005	5
COCONINO	2020-03-26	4005	5
COCONINO	2020-03-27	4005	13
COCONINO	2020-03-28	4005	15
COCONINO	2020-03-29	4005	12
COCONINO	2020-03-30	4005	5
COCONINO	2020-03-31	4005	8
COCONINO	2020-04-01	4005	4
COCONINO	2020-04-02	4005	31
COCONINO	2020-04-03	4005	10
COCONINO	2020-04-04	4005	21
COCONINO	2020-04-05	4005	8
COCONINO	2020-04-06	4005	12
COCONINO	2020-04-07	4005	12
COCONINO	2020-04-08	4005	7
COCONINO	2020-04-09	4005	24
COCONINO	2020-04-10	4005	4
COCONINO	2020-04-11	4005	24
COCONINO	2020-04-12	4005	5
COCONINO	2020-04-13	4005	10
COCONINO	2020-04-14	4005	17
COCONINO	2020-04-15	4005	-4
COCONINO	2020-04-16	4005	33
COCONINO	2020-04-17	4005	5
COCONINO	2020-04-18	4005	10
COCONINO	2020-04-19	4005	19
COCONINO	2020-04-20	4005	4
COCONINO	2020-04-21	4005	5
COCONINO	2020-04-22	4005	11
COCONINO	2020-04-23	4005	19
COCONINO	2020-04-24	4005	19
COCONINO	2020-04-25	4005	11
COCONINO	2020-04-26	4005	18
COCONINO	2020-04-27	4005	5
COCONINO	2020-04-28	4005	14
COCONINO	2020-04-29	4005	14
COCONINO	2020-04-30	4005	33
COCONINO	2020-05-01	4005	12
COCONINO	2020-05-02	4005	14
COCONINO	2020-05-03	4005	15
COCONINO	2020-05-04	4005	13
COCONINO	2020-05-05	4005	21
COCONINO	2020-05-06	4005	27
COCONINO	2020-05-07	4005	30
COCONINO	2020-05-08	4005	41
COCONINO	2020-05-09	4005	20
COCONINO	2020-05-10	4005	20
COCONINO	2020-05-11	4005	14
COCONINO	2020-05-12	4005	7
COCONINO	2020-05-13	4005	52
COCONINO	2020-05-14	4005	23
COCONINO	2020-05-15	4005	28
COCONINO	2020-05-16	4005	16
COCONINO	2020-05-17	4005	27
COCONINO	2020-05-18	4005	35
COCONINO	2020-05-19	4005	42
COCONINO	2020-05-20	4005	18
COCONINO	2020-05-21	4005	11
COCONINO	2020-05-22	4005	7
COCONINO	2020-05-23	4005	21
COCONINO	2020-05-24	4005	19
COCONINO	2020-05-25	4005	9
COCONINO	2020-05-26	4005	13
COCONINO	2020-05-27	4005	25
COCONINO	2020-05-28	4005	12
COCONINO	2020-05-29	4005	26
COCONINO	2020-05-30	4005	19
COCONINO	2020-05-31	4005	28
COCONINO	2020-06-01	4005	4
COCONINO	2020-06-02	4005	18
COCONINO	2020-06-03	4005	13
COCONINO	2020-06-04	4005	35
COCONINO	2020-06-05	4005	27
COCONINO	2020-06-06	4005	19
COCONINO	2020-06-07	4005	15
COCONINO	2020-06-08	4005	8
COCONINO	2020-06-09	4005	-1
COCONINO	2020-06-10	4005	21
COCONINO	2020-06-11	4005	18
COCONINO	2020-06-12	4005	17
COCONINO	2020-06-13	4005	15
COCONINO	2020-06-14	4005	8
COCONINO	2020-06-15	4005	5
COCONINO	2020-06-16	4005	20
COCONINO	2020-06-17	4005	17
COCONINO	2020-06-18	4005	29
COCONINO	2020-06-19	4005	31
COCONINO	2020-06-20	4005	20
COCONINO	2020-06-21	4005	46
COCONINO	2020-06-22	4005	5
COCONINO	2020-06-23	4005	54
COCONINO	2020-06-24	4005	16
COCONINO	2020-06-25	4005	65
COCONINO	2020-06-26	4005	37
COCONINO	2020-06-27	4005	22
COCONINO	2020-06-28	4005	84
COCONINO	2020-06-29	4005	31
COCONINO	2020-06-30	4005	35
COCONINO	2020-07-01	4005	56
COCONINO	2020-07-02	4005	45
COCONINO	2020-07-03	4005	101
COCONINO	2020-07-04	4005	20
COCONINO	2020-07-05	4005	57
COCONINO	2020-07-06	4005	26
COCONINO	2020-07-07	4005	47
COCONINO	2020-07-08	4005	13
COCONINO	2020-07-09	4005	88
COCONINO	2020-07-10	4005	41
COCONINO	2020-07-11	4005	48
COCONINO	2020-07-12	4005	30
COCONINO	2020-07-13	4005	18
COCONINO	2020-07-14	4005	48
COCONINO	2020-07-15	4005	9
COCONINO	2020-07-16	4005	49
COCONINO	2020-07-17	4005	38
COCONINO	2020-07-18	4005	28
COCONINO	2020-07-19	4005	17
COCONINO	2020-07-20	4005	11
COCONINO	2020-07-21	4005	70
COCONINO	2020-07-22	4005	-9
COCONINO	2020-07-23	4005	42
COCONINO	2020-07-24	4005	43
COCONINO	2020-07-25	4005	28
COCONINO	2020-07-26	4005	9
COCONINO	2020-07-27	4005	12
COCONINO	2020-07-28	4005	10
COCONINO	2020-07-29	4005	23
GILA	2020-03-28	4007	1
GILA	2020-03-29	4007	0
GILA	2020-03-30	4007	0
GILA	2020-03-31	4007	0
GILA	2020-04-01	4007	0
GILA	2020-04-02	4007	1
GILA	2020-04-03	4007	0
GILA	2020-04-04	4007	1
GILA	2020-04-05	4007	0
GILA	2020-04-06	4007	0
GILA	2020-04-07	4007	0
GILA	2020-04-08	4007	0
GILA	2020-04-09	4007	0
GILA	2020-04-10	4007	0
GILA	2020-04-11	4007	0
GILA	2020-04-12	4007	0
GILA	2020-04-13	4007	0
GILA	2020-04-14	4007	0
GILA	2020-04-15	4007	0
GILA	2020-04-16	4007	2
GILA	2020-04-17	4007	0
GILA	2020-04-18	4007	2
GILA	2020-04-19	4007	0
GILA	2020-04-20	4007	1
GILA	2020-04-21	4007	1
GILA	2020-04-22	4007	1
GILA	2020-04-23	4007	2
