state	date	fips	new.cases	abbr
IDAHO	2020-06-27	16	170	ID
WISCONSIN	2020-06-27	55	517	WI
VIRGINIA	2020-06-27	51	677	VA
DELAWARE	2020-06-27	10	74	DE
OKLAHOMA	2020-06-27	40	299	OK
MINNESOTA	2020-06-27	27	417	MN
WASHINGTON	2020-06-27	53	542	WA
OHIO	2020-06-27	39	817	OH
KENTUCKY	2020-06-27	21	304	KY
INDIANA	2020-06-27	18	438	IN
ILLINOIS	2020-06-27	17	724	IL
MISSOURI	2020-06-27	29	342	MO
MARYLAND	2020-06-27	24	328	MD
MASSACHUSETTS	2020-06-27	25	373	MA
NORTH DAKOTA	2020-06-27	38	37	ND
DISTRICT OF COLUMBIA	2020-06-27	11	31	DC
WYOMING	2020-06-27	56	24	WY
CONNECTICUT	2020-06-27	9	147	CN
COLORADO	2020-06-27	8	226	CO
MAINE	2020-06-27	23	52	ME
NEW YORK	2020-06-27	36	697	NY
ALASKA	2020-06-27	2	26	AK
PENNSYLVANIA	2020-06-27	42	450	PA
NEW HAMPSHIRE	2020-06-27	33	46	NH
MICHIGAN	2020-06-27	26	329	MI
NEW JERSEY	2020-06-27	34	289	NJ
WEST VIRGINIA	2020-06-27	54	52	WV
OREGON	2020-06-27	41	102	OR
MONTANA	2020-06-27	30	23	MT
KANSAS	2020-06-27	20	38	KS
HAWAII	2020-06-27	15	6	HI
VERMONT	2020-06-27	50	2	VT
LOUISIANA	2020-06-27	22	0	LA
RHODE ISLAND	2020-06-27	44	0	RI
ARIZONA	2020-06-26	4	3379	AZ
FLORIDA	2020-06-26	12	8942	FL
LOUISIANA	2020-06-26	22	1354	LA
SOUTH CAROLINA	2020-06-26	45	1313	SC
ARKANSAS	2020-06-26	5	678	AR
UTAH	2020-06-26	49	674	UT
TEXAS	2020-06-26	48	5799	TX
ALABAMA	2020-06-26	1	977	AL
MISSISSIPPI	2020-06-26	28	550	MS
KANSAS	2020-06-26	20	522	KS
GEORGIA	2020-06-26	13	1746	GA
NORTH CAROLINA	2020-06-26	37	1715	NC
TENNESSEE	2020-06-26	47	1107	TN
IDAHO	2020-06-26	16	280	ID
NEVADA	2020-06-26	32	448	NV
CALIFORNIA	2020-06-26	6	5614	CA
IOWA	2020-06-26	19	444	IA
NEW MEXICO	2020-06-26	35	216	NM
OKLAHOMA	2020-06-26	40	396	OK
OREGON	2020-06-26	41	403	OR
NEBRASKA	2020-06-26	31	178	NE
WISCONSIN	2020-06-26	55	514	WI
MINNESOTA	2020-06-26	27	493	MN
OHIO	2020-06-26	39	987	OH
MISSOURI	2020-06-26	29	491	MO
VIRGINIA	2020-06-26	51	624	VA
INDIANA	2020-06-26	18	490	IN
WYOMING	2020-06-26	56	42	WY
ILLINOIS	2020-06-26	17	877	IL
WASHINGTON	2020-06-26	53	491	WA
SOUTH DAKOTA	2020-06-26	46	56	SD
PENNSYLVANIA	2020-06-26	42	720	PA
COLORADO	2020-06-26	8	317	CO
KENTUCKY	2020-06-26	21	240	KY
MARYLAND	2020-06-26	24	307	MD
NEW JERSEY	2020-06-26	34	388	NJ
NEW YORK	2020-06-26	36	804	NY
ALASKA	2020-06-26	2	30	AK
DELAWARE	2020-06-26	10	37	DE
DISTRICT OF COLUMBIA	2020-06-26	11	26	DC
NORTH DAKOTA	2020-06-26	38	28	ND
MASSACHUSETTS	2020-06-26	25	233	MA
MICHIGAN	2020-06-26	26	314	MI
MONTANA	2020-06-26	30	26	MT
NEW HAMPSHIRE	2020-06-26	33	33	NH
MAINE	2020-06-26	23	32	ME
WEST VIRGINIA	2020-06-26	54	36	WV
RHODE ISLAND	2020-06-26	44	21	RI
CONNECTICUT	2020-06-26	9	65	CN
VERMONT	2020-06-26	50	7	VT
HAWAII	2020-06-26	15	14	HI
ARIZONA	2020-06-25	4	3090	AZ
MISSISSIPPI	2020-06-25	28	1092	MS
NEW JERSEY	2020-06-25	34	2158	NJ
FLORIDA	2020-06-25	12	5004	FL
ALABAMA	2020-06-25	1	1142	AL
ARKANSAS	2020-06-25	5	687	AR
SOUTH CAROLINA	2020-06-25	45	1125	SC
LOUISIANA	2020-06-25	22	938	LA
UTAH	2020-06-25	49	629	UT
TEXAS	2020-06-25	48	5473	TX
IOWA	2020-06-25	19	487	IA
NEVADA	2020-06-25	32	451	NV
GEORGIA	2020-06-25	13	1506	GA
CALIFORNIA	2020-06-25	6	5524	CA
TENNESSEE	2020-06-25	47	873	TN
IDAHO	2020-06-25	16	219	ID
NORTH CAROLINA	2020-06-25	37	1277	NC
OKLAHOMA	2020-06-25	40	438	OK
MISSOURI	2020-06-25	29	598	MO
NEW MEXICO	2020-06-25	35	202	NM
WISCONSIN	2020-06-25	55	552	WI
DELAWARE	2020-06-25	10	91	DE
WASHINGTON	2020-06-25	53	598	WA
INDIANA	2020-06-25	18	519	IN
MARYLAND	2020-06-25	24	463	MD
OHIO	2020-06-25	39	892	OH
WYOMING	2020-06-25	56	44	WY
ILLINOIS	2020-06-25	17	910	IL
SOUTH DAKOTA	2020-06-25	46	60	SD
NEBRASKA	2020-06-25	31	126	NE
MINNESOTA	2020-06-25	27	360	MN
ALASKA	2020-06-25	2	45	AK
KENTUCKY	2020-06-25	21	271	KY
COLORADO	2020-06-25	8	324	CO
VIRGINIA	2020-06-25	51	432	VA
MICHIGAN	2020-06-25	26	448	MI
DISTRICT OF COLUMBIA	2020-06-25	11	31	DC
NORTH DAKOTA	2020-06-25	38	32	ND
MAINE	2020-06-25	23	53	ME
NEW YORK	2020-06-25	36	738	NY
WEST VIRGINIA	2020-06-25	54	64	WV
PENNSYLVANIA	2020-06-25	42	455	PA
MONTANA	2020-06-25	30	37	MT
OREGON	2020-06-25	41	143	OR
KANSAS	2020-06-25	20	97	KS
MASSACHUSETTS	2020-06-25	25	226	MA
RHODE ISLAND	2020-06-25	44	34	RI
NEW HAMPSHIRE	2020-06-25	33	40	NH
CONNECTICUT	2020-06-25	9	81	CN
VERMONT	2020-06-25	50	7	VT
HAWAII	2020-06-25	15	15	HI
FLORIDA	2020-06-24	12	5511	FL
SOUTH CAROLINA	2020-06-24	45	1284	SC
ARIZONA	2020-06-24	4	1810	AZ
ARKANSAS	2020-06-24	5	697	AR
TEXAS	2020-06-24	48	6584	TX
ALABAMA	2020-06-24	1	967	AL
LOUISIANA	2020-06-24	22	882	LA
MISSISSIPPI	2020-06-24	28	526	MS
GEORGIA	2020-06-24	13	1713	GA
KANSAS	2020-06-24	20	451	KS
UTAH	2020-06-24	49	461	UT
NORTH CAROLINA	2020-06-24	37	1437	NC
IOWA	2020-06-24	19	427	IA
IDAHO	2020-06-24	16	238	ID
NEVADA	2020-06-24	32	402	NV
CALIFORNIA	2020-06-24	6	4850	CA
OKLAHOMA	2020-06-24	40	481	OK
TENNESSEE	2020-06-24	47	804	TN
WASHINGTON	2020-06-24	53	622	WA
WISCONSIN	2020-06-24	55	465	WI
SOUTH DAKOTA	2020-06-24	46	66	SD
NEW MEXICO	2020-06-24	35	152	NM
RHODE ISLAND	2020-06-24	44	73	RI
NEBRASKA	2020-06-24	31	129	NE
VIRGINIA	2020-06-24	51	520	VA
ILLINOIS	2020-06-24	17	743	IL
NORTH DAKOTA	2020-06-24	38	44	ND
MARYLAND	2020-06-24	24	332	MD
OHIO	2020-06-24	39	632	OH
MISSOURI	2020-06-24	29	330	MO
MINNESOTA	2020-06-24	27	297	MN
WYOMING	2020-06-24	56	28	WY
DISTRICT OF COLUMBIA	2020-06-24	11	34	DC
COLORADO	2020-06-24	8	262	CO
KENTUCKY	2020-06-24	21	199	KY
INDIANA	2020-06-24	18	293	IN
DELAWARE	2020-06-24	10	42	DE
PENNSYLVANIA	2020-06-24	42	492	PA
OREGON	2020-06-24	41	145	OR
MICHIGAN	2020-06-24	26	338	MI
VERMONT	2020-06-24	50	20	VT
NEW YORK	2020-06-24	36	575	NY
ALASKA	2020-06-24	2	21	AK
MASSACHUSETTS	2020-06-24	25	172	MA
MONTANA	2020-06-24	30	23	MT
WEST VIRGINIA	2020-06-24	54	36	WV
NEW HAMPSHIRE	2020-06-24	33	27	NH
NEW JERSEY	2020-06-24	34	158	NJ
MAINE	2020-06-24	23	23	ME
HAWAII	2020-06-24	15	14	HI
CONNECTICUT	2020-06-24	9	14	CN
ARIZONA	2020-06-23	4	3630	AZ
LOUISIANA	2020-06-23	22	1356	LA
MISSISSIPPI	2020-06-23	28	611	MS
ARKANSAS	2020-06-23	5	595	AR
SOUTH CAROLINA	2020-06-23	45	912	SC
GEORGIA	2020-06-23	13	1872	GA
TEXAS	2020-06-23	48	5080	TX
CALIFORNIA	2020-06-23	6	6419	CA
NEVADA	2020-06-23	32	483	NV
FLORIDA	2020-06-23	12	3286	FL
ALABAMA	2020-06-23	1	643	AL
UTAH	2020-06-23	49	419	UT
TENNESSEE	2020-06-23	47	763	TN
NORTH CAROLINA	2020-06-23	37	984	NC
IDAHO	2020-06-23	16	145	ID
IOWA	2020-06-23	19	253	IA
OKLAHOMA	2020-06-23	40	295	OK
RHODE ISLAND	2020-06-23	44	74	RI
NEBRASKA	2020-06-23	31	134	NE
NEW MEXICO	2020-06-23	35	144	NM
MISSOURI	2020-06-23	29	415	MO
MARYLAND	2020-06-23	24	400	MD
VIRGINIA	2020-06-23	51	529	VA
WISCONSIN	2020-06-23	55	338	WI
KENTUCKY	2020-06-23	21	250	KY
ILLINOIS	2020-06-23	17	667	IL
DISTRICT OF COLUMBIA	2020-06-23	11	36	DC
OHIO	2020-06-23	39	590	OH
ALASKA	2020-06-23	2	36	AK
PENNSYLVANIA	2020-06-23	42	617	PA
OREGON	2020-06-23	41	202	OR
WASHINGTON	2020-06-23	53	335	WA
MINNESOTA	2020-06-23	27	242	MN
WYOMING	2020-06-23	56	24	WY
INDIANA	2020-06-23	18	258	IN
NEW JERSEY	2020-06-23	34	319	NJ
MASSACHUSETTS	2020-06-23	25	229	MA
CONNECTICUT	2020-06-23	9	117	CN
COLORADO	2020-06-23	8	188	CO
NEW YORK	2020-06-23	36	598	NY
SOUTH DAKOTA	2020-06-23	46	27	SD
KANSAS	2020-06-23	20	83	KS
DELAWARE	2020-06-23	10	27	DE
MICHIGAN	2020-06-23	26	229	MI
MAINE	2020-06-23	23	23	ME
WEST VIRGINIA	2020-06-23	54	22	WV
NEW HAMPSHIRE	2020-06-23	33	13	NH
NORTH DAKOTA	2020-06-23	38	7	ND
MONTANA	2020-06-23	30	9	MT
HAWAII	2020-06-23	15	3	HI
VERMONT	2020-06-23	50	1	VT
MISSISSIPPI	2020-06-22	28	1265	MS
ARIZONA	2020-06-22	4	2101	AZ
SOUTH CAROLINA	2020-06-22	45	1008	SC
ARKANSAS	2020-06-22	5	522	AR
TEXAS	2020-06-22	48	4760	TX
CALIFORNIA	2020-06-22	6	5813	CA
UTAH	2020-06-22	49	468	UT
FLORIDA	2020-06-22	12	2926	FL
IDAHO	2020-06-22	16	242	ID
RHODE ISLAND	2020-06-22	44	122	RI
GEORGIA	2020-06-22	13	1212	GA
NEVADA	2020-06-22	32	339	NV
KANSAS	2020-06-22	20	318	KS
LOUISIANA	2020-06-22	22	462	LA
NORTH CAROLINA	2020-06-22	37	986	NC
ALABAMA	2020-06-22	1	433	AL
WASHINGTON	2020-06-22	53	646	WA
TENNESSEE	2020-06-22	47	536	TN
NEBRASKA	2020-06-22	31	147	NE
IOWA	2020-06-22	19	197	IA
OHIO	2020-06-22	39	729	OH
NEW MEXICO	2020-06-22	35	129	NM
WYOMING	2020-06-22	56	33	WY
VIRGINIA	2020-06-22	51	471	VA
OKLAHOMA	2020-06-22	40	218	OK
MINNESOTA	2020-06-22	27	307	MN
DISTRICT OF COLUMBIA	2020-06-22	11	38	DC
PENNSYLVANIA	2020-06-22	42	642	PA
MARYLAND	2020-06-22	24	299	MD
DELAWARE	2020-06-22	10	45	DE
WISCONSIN	2020-06-22	55	251	WI
OREGON	2020-06-22	41	170	OR
ILLINOIS	2020-06-22	17	461	IL
KENTUCKY	2020-06-22	21	154	KY
NORTH DAKOTA	2020-06-22	38	25	ND
SOUTH DAKOTA	2020-06-22	46	29	SD
INDIANA	2020-06-22	18	213	IN
NEW JERSEY	2020-06-22	34	273	NJ
MISSOURI	2020-06-22	29	181	MO
COLORADO	2020-06-22	8	165	CO
NEW YORK	2020-06-22	36	555	NY
MICHIGAN	2020-06-22	26	271	MI
MASSACHUSETTS	2020-06-22	25	149	MA
MONTANA	2020-06-22	30	17	MT
WEST VIRGINIA	2020-06-22	54	28	WV
ALASKA	2020-06-22	2	10	AK
MAINE	2020-06-22	23	14	ME
NEW HAMPSHIRE	2020-06-22	33	14	NH
CONNECTICUT	2020-06-22	9	27	CN
VERMONT	2020-06-22	50	4	VT
HAWAII	2020-06-22	15	2	HI
ARIZONA	2020-06-21	4	2468	AZ
SOUTH CAROLINA	2020-06-21	45	907	SC
FLORIDA	2020-06-21	12	3494	FL
IOWA	2020-06-21	19	468	IA
ARKANSAS	2020-06-21	5	419	AR
UTAH	2020-06-21	49	394	UT
OKLAHOMA	2020-06-21	40	478	OK
NORTH CAROLINA	2020-06-21	37	1214	NC
TEXAS	2020-06-21	48	3292	TX
CALIFORNIA	2020-06-21	6	3953	CA
DELAWARE	2020-06-21	10	94	DE
ALABAMA	2020-06-21	1	472	AL
LOUISIANA	2020-06-21	22	393	LA
NEVADA	2020-06-21	32	259	NV
SOUTH DAKOTA	2020-06-21	46	72	SD
MINNESOTA	2020-06-21	27	453	MN
GEORGIA	2020-06-21	13	824	GA
TENNESSEE	2020-06-21	47	496	TN
MISSOURI	2020-06-21	29	397	MO
VIRGINIA	2020-06-21	51	551	VA
NEW MEXICO	2020-06-21	35	135	NM
OREGON	2020-06-21	41	263	OR
MARYLAND	2020-06-21	24	338	MD
INDIANA	2020-06-21	18	361	IN
NEBRASKA	2020-06-21	31	103	NE
DISTRICT OF COLUMBIA	2020-06-21	11	36	DC
ILLINOIS	2020-06-21	17	619	IL
WISCONSIN	2020-06-21	55	284	WI
NORTH DAKOTA	2020-06-21	38	37	ND
OHIO	2020-06-21	39	546	OH
WASHINGTON	2020-06-21	53	331	WA
NEW JERSEY	2020-06-21	34	308	NJ
NEW YORK	2020-06-21	36	665	NY
COLORADO	2020-06-21	8	190	CO
WYOMING	2020-06-21	56	18	WY
PENNSYLVANIA	2020-06-21	42	346	PA
KENTUCKY	2020-06-21	21	119	KY
WEST VIRGINIA	2020-06-21	54	43	WV
VERMONT	2020-06-21	50	12	VT
ALASKA	2020-06-21	2	14	AK
NEW HAMPSHIRE	2020-06-21	33	26	NH
MASSACHUSETTS	2020-06-21	25	125	MA
MONTANA	2020-06-21	30	19	MT
MICHIGAN	2020-06-21	26	152	MI
MAINE	2020-06-21	23	19	ME
KANSAS	2020-06-21	20	40	KS
CONNECTICUT	2020-06-21	9	40	CN
IDAHO	2020-06-21	16	19	ID
HAWAII	2020-06-21	15	11	HI
MISSISSIPPI	2020-06-21	28	0	MS
RHODE ISLAND	2020-06-21	44	0	RI
ARIZONA	2020-06-20	4	3284	AZ
SOUTH CAROLINA	2020-06-20	45	1155	SC
FLORIDA	2020-06-20	12	4049	FL
LOUISIANA	2020-06-20	22	870	LA
UTAH	2020-06-20	49	588	UT
ARKANSAS	2020-06-20	5	511	AR
NORTH CAROLINA	2020-06-20	37	1626	NC
TEXAS	2020-06-20	48	4272	TX
NEVADA	2020-06-20	32	452	NV
GEORGIA	2020-06-20	13	1552	GA
ALABAMA	2020-06-20	1	547	AL
CALIFORNIA	2020-06-20	6	4011	CA
TENNESSEE	2020-06-20	47	620	TN
OKLAHOMA	2020-06-20	40	331	OK
NEW MEXICO	2020-06-20	35	170	NM
MINNESOTA	2020-06-20	27	436	MN
VIRGINIA	2020-06-20	51	650	VA
SOUTH DAKOTA	2020-06-20	46	67	SD
IDAHO	2020-06-20	16	135	ID
DELAWARE	2020-06-20	10	70	DE
WISCONSIN	2020-06-20	55	401	WI
MARYLAND	2020-06-20	24	415	MD
MISSOURI	2020-06-20	29	375	MO
NEBRASKA	2020-06-20	31	116	NE
WASHINGTON	2020-06-20	53	421	WA
INDIANA	2020-06-20	18	334	IN
ILLINOIS	2020-06-20	17	618	IL
OHIO	2020-06-20	39	531	OH
DISTRICT OF COLUMBIA	2020-06-20	11	32	DC
CONNECTICUT	2020-06-20	9	158	CN
MICHIGAN	2020-06-20	26	421	MI
MASSACHUSETTS	2020-06-20	25	286	MA
IOWA	2020-06-20	19	128	IA
KENTUCKY	2020-06-20	21	171	KY
NEW JERSEY	2020-06-20	34	338	NJ
NEW YORK	2020-06-20	36	707	NY
ALASKA	2020-06-20	2	24	AK
NORTH DAKOTA	2020-06-20	38	25	ND
PENNSYLVANIA	2020-06-20	42	390	PA
MONTANA	2020-06-20	30	32	MT
COLORADO	2020-06-20	8	162	CO
NEW HAMPSHIRE	2020-06-20	33	32	NH
OREGON	2020-06-20	41	90	OR
MAINE	2020-06-20	23	25	ME
WEST VIRGINIA	2020-06-20	54	32	WV
KANSAS	2020-06-20	20	50	KS
WYOMING	2020-06-20	56	6	WY
HAWAII	2020-06-20	15	14	HI
VERMONT	2020-06-20	50	3	VT
MISSISSIPPI	2020-06-20	28	0	MS
RHODE ISLAND	2020-06-20	44	0	RI
ARIZONA	2020-06-19	4	3183	AZ
ARKANSAS	2020-06-19	5	703	AR
SOUTH CAROLINA	2020-06-19	45	1083	SC
FLORIDA	2020-06-19	12	3822	FL
UTAH	2020-06-19	49	570	UT
ALABAMA	2020-06-19	1	796	AL
TEXAS	2020-06-19	48	4645	TX
NORTH CAROLINA	2020-06-19	37	1588	NC
IOWA	2020-06-19	19	465	IA
TENNESSEE	2020-06-19	47	999	TN
NEVADA	2020-06-19	32	361	NV
DELAWARE	2020-06-19	10	112	DE
GEORGIA	2020-06-19	13	1077	GA
KANSAS	2020-06-19	20	282	KS
CALIFORNIA	2020-06-19	6	3708	CA
NEBRASKA	2020-06-19	31	176	NE
OKLAHOMA	2020-06-19	40	352	OK
IDAHO	2020-06-19	16	127	ID
DISTRICT OF COLUMBIA	2020-06-19	11	49	DC
ILLINOIS	2020-06-19	17	836	IL
VIRGINIA	2020-06-19	51	555	VA
RHODE ISLAND	2020-06-19	44	68	RI
MINNESOTA	2020-06-19	27	356	MN
SOUTH DAKOTA	2020-06-19	46	49	SD
KENTUCKY	2020-06-19	21	238	KY
OHIO	2020-06-19	39	609	OH
WISCONSIN	2020-06-19	55	302	WI
MARYLAND	2020-06-19	24	311	MD
NEW MEXICO	2020-06-19	35	107	NM
WASHINGTON	2020-06-19	53	382	WA
WYOMING	2020-06-19	56	29	WY
COLORADO	2020-06-19	8	286	CO
OREGON	2020-06-19	41	202	OR
INDIANA	2020-06-19	18	321	IN
MISSOURI	2020-06-19	29	292	MO
NEW JERSEY	2020-06-19	34	389	NJ
NORTH DAKOTA	2020-06-19	38	33	ND
NEW YORK	2020-06-19	36	794	NY
PENNSYLVANIA	2020-06-19	42	508	PA
ALASKA	2020-06-19	2	26	AK
MASSACHUSETTS	2020-06-19	25	228	MA
CONNECTICUT	2020-06-19	9	117	CN
MICHIGAN	2020-06-19	26	320	MI
WEST VIRGINIA	2020-06-19	54	50	WV
NEW HAMPSHIRE	2020-06-19	33	36	NH
MAINE	2020-06-19	23	35	ME
HAWAII	2020-06-19	15	27	HI
VERMONT	2020-06-19	50	9	VT
MONTANA	2020-06-19	30	11	MT
MISSISSIPPI	2020-06-19	28	0	MS
LOUISIANA	2020-06-19	22	-879	LA
ARIZONA	2020-06-18	4	2572	AZ
SOUTH CAROLINA	2020-06-18	45	992	SC
ALABAMA	2020-06-18	1	894	AL
UTAH	2020-06-18	49	551	UT
LOUISIANA	2020-06-18	22	760	LA
FLORIDA	2020-06-18	12	3207	FL
MISSISSIPPI	2020-06-18	28	381	MS
NORTH CAROLINA	2020-06-18	37	1284	NC
OKLAHOMA	2020-06-18	40	451	OK
TEXAS	2020-06-18	48	3211	TX
IOWA	2020-06-18	19	343	IA
ARKANSAS	2020-06-18	5	322	AR
NEVADA	2020-06-18	32	312	NV
NEBRASKA	2020-06-18	31	189	NE
CALIFORNIA	2020-06-18	6	3754	CA
DISTRICT OF COLUMBIA	2020-06-18	11	56	DC
GEORGIA	2020-06-18	13	823	GA
WISCONSIN	2020-06-18	55	444	WI
TENNESSEE	2020-06-18	47	492	TN
MINNESOTA	2020-06-18	27	379	MN
SOUTH DAKOTA	2020-06-18	46	59	SD
INDIANA	2020-06-18	18	444	IN
IDAHO	2020-06-18	16	110	ID
OHIO	2020-06-18	39	700	OH
DELAWARE	2020-06-18	10	55	DE
MISSOURI	2020-06-18	29	337	MO
VIRGINIA	2020-06-18	51	463	VA
RHODE ISLAND	2020-06-18	44	56	RI
ILLINOIS	2020-06-18	17	665	IL
WYOMING	2020-06-18	56	30	WY
WASHINGTON	2020-06-18	53	393	WA
NEW JERSEY	2020-06-18	34	404	NJ
MARYLAND	2020-06-18	24	274	MD
KENTUCKY	2020-06-18	21	201	KY
NEW MEXICO	2020-06-18	35	88	NM
COLORADO	2020-06-18	8	228	CO
MASSACHUSETTS	2020-06-18	25	271	MA
NORTH DAKOTA	2020-06-18	38	29	ND
OREGON	2020-06-18	41	155	OR
NEW YORK	2020-06-18	36	626	NY
MAINE	2020-06-18	23	42	ME
PENNSYLVANIA	2020-06-18	42	393	PA
KANSAS	2020-06-18	20	85	KS
MICHIGAN	2020-06-18	26	286	MI
ALASKA	2020-06-18	2	19	AK
WEST VIRGINIA	2020-06-18	54	42	WV
MONTANA	2020-06-18	30	25	MT
HAWAII	2020-06-18	15	18	HI
NEW HAMPSHIRE	2020-06-18	33	14	NH
VERMONT	2020-06-18	50	5	VT
CONNECTICUT	2020-06-18	9	11	CN
ARIZONA	2020-06-17	4	1861	AZ
LOUISIANA	2020-06-17	22	928	LA
MISSISSIPPI	2020-06-17	28	489	MS
ARKANSAS	2020-06-17	5	415	AR
FLORIDA	2020-06-17	12	2610	FL
UTAH	2020-06-17	49	387	UT
TEXAS	2020-06-17	48	3493	TX
IOWA	2020-06-17	19	353	IA
SOUTH CAROLINA	2020-06-17	45	561	SC
CALIFORNIA	2020-06-17	6	4250	CA
NEBRASKA	2020-06-17	31	195	NE
NORTH CAROLINA	2020-06-17	37	1037	NC
SOUTH DAKOTA	2020-06-17	46	84	SD
MARYLAND	2020-06-17	24	561	MD
GEORGIA	2020-06-17	13	915	GA
ALABAMA	2020-06-17	1	400	AL
KANSAS	2020-06-17	20	232	KS
MINNESOTA	2020-06-17	27	415	MN
TENNESSEE	2020-06-17	47	489	TN
OKLAHOMA	2020-06-17	40	258	OK
KENTUCKY	2020-06-17	21	291	KY
NEW MEXICO	2020-06-17	35	132	NM
NEVADA	2020-06-17	32	179	NV
WISCONSIN	2020-06-17	55	338	WI
NORTH DAKOTA	2020-06-17	38	43	ND
NEW HAMPSHIRE	2020-06-17	33	72	NH
VIRGINIA	2020-06-17	51	444	VA
IDAHO	2020-06-17	16	91	ID
RHODE ISLAND	2020-06-17	44	49	RI
ILLINOIS	2020-06-17	17	550	IL
WYOMING	2020-06-17	56	25	WY
WASHINGTON	2020-06-17	53	321	WA
DELAWARE	2020-06-17	10	41	DE
DISTRICT OF COLUMBIA	2020-06-17	11	29	DC
COLORADO	2020-06-17	8	231	CO
MASSACHUSETTS	2020-06-17	25	266	MA
INDIANA	2020-06-17	18	256	IN
MISSOURI	2020-06-17	29	221	MO
OHIO	2020-06-17	39	412	OH
ALASKA	2020-06-17	2	25	AK
NEW JERSEY	2020-06-17	34	277	NJ
OREGON	2020-06-17	41	124	OR
NEW YORK	2020-06-17	36	561	NY
PENNSYLVANIA	2020-06-17	42	310	PA
MICHIGAN	2020-06-17	26	228	MI
CONNECTICUT	2020-06-17	9	80	CN
WEST VIRGINIA	2020-06-17	54	35	WV
MONTANA	2020-06-17	30	16	MT
MAINE	2020-06-17	23	17	ME
HAWAII	2020-06-17	15	4	HI
VERMONT	2020-06-17	50	0	VT
ARIZONA	2020-06-16	4	2293	AZ
TEXAS	2020-06-16	48	4247	TX
ALABAMA	2020-06-16	1	640	AL
FLORIDA	2020-06-16	12	2783	FL
SOUTH CAROLINA	2020-06-16	45	614	SC
MISSISSIPPI	2020-06-16	28	353	MS
NEVADA	2020-06-16	32	357	NV
LOUISIANA	2020-06-16	22	534	LA
UTAH	2020-06-16	49	320	UT
TENNESSEE	2020-06-16	47	678	TN
ARKANSAS	2020-06-16	5	274	AR
NEBRASKA	2020-06-16	31	171	NE
CALIFORNIA	2020-06-16	6	3469	CA
NORTH CAROLINA	2020-06-16	37	848	NC
GEORGIA	2020-06-16	13	797	GA
RHODE ISLAND	2020-06-16	44	71	RI
OREGON	2020-06-16	41	280	OR
DELAWARE	2020-06-16	10	63	DE
MARYLAND	2020-06-16	24	351	MD
OKLAHOMA	2020-06-16	40	228	OK
INDIANA	2020-06-16	18	358	IN
VIRGINIA	2020-06-16	51	445	VA
WISCONSIN	2020-06-16	55	299	WI
WASHINGTON	2020-06-16	53	372	WA
ILLINOIS	2020-06-16	17	619	IL
IOWA	2020-06-16	19	153	IA
SOUTH DAKOTA	2020-06-16	46	38	SD
NEW MEXICO	2020-06-16	35	88	NM
IDAHO	2020-06-16	16	71	ID
OHIO	2020-06-16	39	434	OH
NEW JERSEY	2020-06-16	34	323	NJ
MISSOURI	2020-06-16	29	218	MO
MINNESOTA	2020-06-16	27	189	MN
NEW YORK	2020-06-16	36	630	NY
CONNECTICUT	2020-06-16	9	114	CN
PENNSYLVANIA	2020-06-16	42	390	PA
NORTH DAKOTA	2020-06-16	38	23	ND
MASSACHUSETTS	2020-06-16	25	195	MA
DISTRICT OF COLUMBIA	2020-06-16	11	19	DC
COLORADO	2020-06-16	8	143	CO
KANSAS	2020-06-16	20	53	KS
ALASKA	2020-06-16	2	13	AK
WYOMING	2020-06-16	56	10	WY
MICHIGAN	2020-06-16	26	164	MI
NEW HAMPSHIRE	2020-06-16	33	19	NH
WEST VIRGINIA	2020-06-16	54	19	WV
KENTUCKY	2020-06-16	21	36	KY
MAINE	2020-06-16	23	9	ME
MONTANA	2020-06-16	30	5	MT
HAWAII	2020-06-16	15	4	HI
VERMONT	2020-06-16	50	0	VT
ARIZONA	2020-06-15	4	1052	AZ
UTAH	2020-06-15	49	444	UT
ARKANSAS	2020-06-15	5	416	AR
RHODE ISLAND	2020-06-15	44	146	RI
ALABAMA	2020-06-15	1	657	AL
LOUISIANA	2020-06-15	22	552	LA
SOUTH CAROLINA	2020-06-15	45	585	SC
TENNESSEE	2020-06-15	47	771	TN
NORTH CAROLINA	2020-06-15	37	1058	NC
MISSISSIPPI	2020-06-15	28	283	MS
KANSAS	2020-06-15	20	269	KS
FLORIDA	2020-06-15	12	1758	FL
DELAWARE	2020-06-15	10	76	DE
INDIANA	2020-06-15	18	521	IN
TEXAS	2020-06-15	48	2184	TX
CALIFORNIA	2020-06-15	6	2709	CA
NEBRASKA	2020-06-15	31	125	NE
GEORGIA	2020-06-15	13	631	GA
NEW MEXICO	2020-06-15	35	122	NM
WASHINGTON	2020-06-15	53	442	WA
MARYLAND	2020-06-15	24	325	MD
MISSOURI	2020-06-15	29	328	MO
IOWA	2020-06-15	19	151	IA
KENTUCKY	2020-06-15	21	211	KY
OKLAHOMA	2020-06-15	40	186	OK
DISTRICT OF COLUMBIA	2020-06-15	11	32	DC
VIRGINIA	2020-06-15	51	380	VA
OREGON	2020-06-15	41	187	OR
ILLINOIS	2020-06-15	17	528	IL
CONNECTICUT	2020-06-15	9	147	CN
MINNESOTA	2020-06-15	27	222	MN
WISCONSIN	2020-06-15	55	223	WI
NEVADA	2020-06-15	32	117	NV
OHIO	2020-06-15	39	428	OH
SOUTH DAKOTA	2020-06-15	46	30	SD
IDAHO	2020-06-15	16	59	ID
