state	date	fips	new.cases	abbr
UTAH	2020-07-27	49	466	UT
NEBRASKA	2020-07-27	31	281	NE
NORTH DAKOTA	2020-07-27	38	110	ND
ALASKA	2020-07-27	2	104	AK
KENTUCKY	2020-07-27	21	568	KY
DELAWARE	2020-07-27	10	116	DE
MINNESOTA	2020-07-27	27	650	MN
DISTRICT OF COLUMBIA	2020-07-27	11	78	DC
WISCONSIN	2020-07-27	55	638	WI
ILLINOIS	2020-07-27	17	1363	IL
IOWA	2020-07-27	19	339	IA
PENNSYLVANIA	2020-07-27	42	1222	PA
OHIO	2020-07-27	39	1104	OH
OREGON	2020-07-27	41	358	OR
INDIANA	2020-07-27	18	536	IN
WYOMING	2020-07-27	56	45	WY
COLORADO	2020-07-27	8	359	CO
MONTANA	2020-07-27	30	64	MT
CONNECTICUT	2020-07-27	9	207	CN
MICHIGAN	2020-07-27	26	579	MI
SOUTH DAKOTA	2020-07-27	46	49	SD
WEST VIRGINIA	2020-07-27	54	94	WV
NEW JERSEY	2020-07-27	34	449	NJ
MASSACHUSETTS	2020-07-27	25	289	MA
NEW YORK	2020-07-27	36	613	NY
HAWAII	2020-07-27	15	28	HI
MAINE	2020-07-27	23	18	ME
NEW HAMPSHIRE	2020-07-27	33	5	NH
VERMONT	2020-07-27	50	2	VT
LOUISIANA	2020-07-26	22	3840	LA
FLORIDA	2020-07-26	12	9344	FL
TENNESSEE	2020-07-26	47	2871	TN
MISSISSIPPI	2020-07-26	28	1207	MS
ALASKA	2020-07-26	2	234	AK
OKLAHOMA	2020-07-26	40	1204	OK
NEVADA	2020-07-26	32	926	NV
ARIZONA	2020-07-26	4	1986	AZ
ALABAMA	2020-07-26	1	1164	AL
SOUTH CAROLINA	2020-07-26	45	1191	SC
ARKANSAS	2020-07-26	5	642	AR
GEORGIA	2020-07-26	13	2214	GA
IDAHO	2020-07-26	16	342	ID
MISSOURI	2020-07-26	29	1167	MO
NORTH DAKOTA	2020-07-26	38	140	ND
WISCONSIN	2020-07-26	55	950	WI
MINNESOTA	2020-07-26	27	862	MN
CALIFORNIA	2020-07-26	6	6011	CA
IOWA	2020-07-26	19	471	IA
NORTH CAROLINA	2020-07-26	37	1515	NC
TEXAS	2020-07-26	48	4129	TX
INDIANA	2020-07-26	18	851	IN
NEW MEXICO	2020-07-26	35	265	NM
DELAWARE	2020-07-26	10	115	DE
MARYLAND	2020-07-26	24	689	MD
VIRGINIA	2020-07-26	51	958	VA
